ticker,user,fields,schedule,enabled,owner,currency,kind,curve_code,tenor,notes
EUR006M Index,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,6M,
EUSA1 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,1Y,
EUSA2 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,2Y,
EUSA3 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,3Y,
EUSA4 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,4Y,
EUSA5 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,5Y,
EUSA6 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,6Y,
EUSA7 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,7Y,
EUSA8 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,8Y,
EUSA9 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,9Y,
EUSA10 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,10Y,
EUSA11 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,11Y,
EUSA12 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,12Y,
EUSA15 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,15Y,
EUSA20 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,20Y,
EUSA25 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,25Y,
EUSA30 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,30Y,
EUSA35 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,35Y,
EUSA40 BGN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-6M,40Y,
HIHD03M Index,shared_term,PX_LAST,daily,true,AD,HKD,IRS,HKD-HIBOR-3M,3M,
HDSWF BGN Curncy,shared_term,PX_LAST,daily,true,AD,HKD,IRS,HKD-HIBOR-3M,6M,
HDSWI BGN Curncy,shared_term,PX_LAST,daily,true,AD,HKD,IRS,HKD-HIBOR-3M,9M,
HDSW1 BGN Curncy,shared_term,PX_LAST,daily,true,AD,HKD,IRS,HKD-HIBOR-3M,1Y,
HDSW2 BGN Curncy,shared_term,PX_LAST,daily,true,AD,HKD,IRS,HKD-HIBOR-3M,2Y,
HDSW3 BGN Curncy,shared_term,PX_LAST,daily,true,AD,HKD,IRS,HKD-HIBOR-3M,3Y,
HDSW4 BGN Curncy,shared_term,PX_LAST,daily,true,AD,HKD,IRS,HKD-HIBOR-3M,4Y,
HDSW5 BGN Curncy,shared_term,PX_LAST,daily,true,AD,HKD,IRS,HKD-HIBOR-3M,5Y,
HDSW6 BGN Curncy,shared_term,PX_LAST,daily,true,AD,HKD,IRS,HKD-HIBOR-3M,6Y,
HDSW7 BGN Curncy,shared_term,PX_LAST,daily,true,AD,HKD,IRS,HKD-HIBOR-3M,7Y,
HDSW10 BGN Curncy,shared_term,PX_LAST,daily,true,AD,HKD,IRS,HKD-HIBOR-3M,10Y,
HDSW12 BGN Curncy,shared_term,PX_LAST,daily,true,AD,HKD,IRS,HKD-HIBOR-3M,12Y,
HDSW15 BGN Curncy,shared_term,PX_LAST,daily,true,AD,HKD,IRS,HKD-HIBOR-3M,15Y,
KWCDC Curncy,shared_term,PX_LAST,daily,true,AD,KRO,IRS,KRO-91D_CD-3M,3M,
KWSWOF  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRO,IRS,KRO-91D_CD-3M,6M,
KWSWOI  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRO,IRS,KRO-91D_CD-3M,9M,
