ticker,user,schedule,enabled,owner,domain,kind,currency,country,curve_code,tenor,quote_type,source_file
CCSWNI2 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNY,,CNY-REPO-7D,2Y,YIELD,tickers/rates.csv
CCSWNI3 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNY,,CNY-REPO-7D,3Y,YIELD,tickers/rates.csv
CCSWNI4 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNY,,CNY-REPO-7D,4Y,YIELD,tickers/rates.csv
CCSWNI5 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNY,,CNY-REPO-7D,5Y,YIELD,tickers/rates.csv
CCSWNI6 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNY,,CNY-REPO-7D,6Y,YIELD,tickers/rates.csv
CCSWNI7 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNY,,CNY-REPO-7D,7Y,YIELD,tickers/rates.csv
CCSWNI10 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNY,,CNY-REPO-7D,10Y,YIELD,tickers/rates.csv
EUR003M Index,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,3M,YIELD,tickers/rates.csv
EUSWFV3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,6M,YIELD,tickers/rates.csv
EUSW1V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,1Y,YIELD,tickers/rates.csv
EUSW2V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,2Y,YIELD,tickers/rates.csv
EUSW3V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,3Y,YIELD,tickers/rates.csv
EUSW4V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,4Y,YIELD,tickers/rates.csv
EUSW5V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,5Y,YIELD,tickers/rates.csv
EUSW6V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,6Y,YIELD,tickers/rates.csv
EUSW7V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,7Y,YIELD,tickers/rates.csv
EUSW8V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,8Y,YIELD,tickers/rates.csv
EUSW9V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,9Y,YIELD,tickers/rates.csv
EUSW10V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,10Y,YIELD,tickers/rates.csv
EUSW11V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,11Y,YIELD,tickers/rates.csv
EUSW12V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,12Y,YIELD,tickers/rates.csv
EUSW15V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,15Y,YIELD,tickers/rates.csv
EUSW18V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,18Y,YIELD,tickers/rates.csv
EUSW20V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,20Y,YIELD,tickers/rates.csv
EUSW25V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,25Y,YIELD,tickers/rates.csv
EUSW30V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,30Y,YIELD,tickers/rates.csv
EUSW35V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,35Y,YIELD,tickers/rates.csv
EUSW40V3 CMPN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-3M,40Y,YIELD,tickers/rates.csv
EUR006M Index,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,6M,YIELD,tickers/rates.csv
EUSA1 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,1Y,YIELD,tickers/rates.csv
EUSA2 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,2Y,YIELD,tickers/rates.csv
EUSA3 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,3Y,YIELD,tickers/rates.csv
EUSA4 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,4Y,YIELD,tickers/rates.csv
EUSA5 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,5Y,YIELD,tickers/rates.csv
EUSA6 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,6Y,YIELD,tickers/rates.csv
EUSA7 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,7Y,YIELD,tickers/rates.csv
EUSA8 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,8Y,YIELD,tickers/rates.csv
EUSA9 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,9Y,YIELD,tickers/rates.csv
EUSA10 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,10Y,YIELD,tickers/rates.csv
EUSA11 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,11Y,YIELD,tickers/rates.csv
EUSA12 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,12Y,YIELD,tickers/rates.csv
EUSA15 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,15Y,YIELD,tickers/rates.csv
EUSA20 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,20Y,YIELD,tickers/rates.csv
EUSA25 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,25Y,YIELD,tickers/rates.csv
EUSA30 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,30Y,YIELD,tickers/rates.csv
EUSA35 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,35Y,YIELD,tickers/rates.csv
